Id,nAnswers,QuestionId,Title,Body,Score,ViewCount,IsAccepted,Reason
6,5,1169573,Large loops hang in R?,"<p>Suppose I want perform a simulation using the following function:</p>&#xA;&#xA;<pre><code>fn1 &lt;- function(N) {&#xA;  res &lt;- c()&#xA;  for (i in 1:N) {&#xA;    x &lt;- rnorm(2)&#xA;    res &lt;- c(res,x[2]-x[1])&#xA;  }&#xA;  res&#xA;}&#xA;</code>",7,2376,1,self-answering and self-accepting
54,5,20537615,bash if statement: Expression Syntax,<p>I get this error <code>if: Expression Syntax.</code></p>&#xA;&#xA;<p>on this script</p>&#xA;&#xA;<pre><code>#!/bin/sh&#xA;&#xA;pmon_num=`ps -ef | grep pmon | wc -l`&#xA;echo $pmon_num&#xA;if [ $pmon_num -gt 1 ]&#xA;then&#xA;&#xA;#code&#xA;&#xA;fi&#xA;<,0,2299,0,self-answering and self-accepting
201,1,35106268,Obtain thread handle from thread id of ANOTHER process,"<p>First off, I'm quite surprised that Google showed absolutely <em>nothing</em> about this specific question, despite it being necessary to implement even a bare-bones Win32 debugger using the Win32 debugging functions as documented in here: <a href="htt""p>F",1,358,1,self-answering and self-accepting
206,1,7694859,"From Java, how can I access a var defined in a Scala trait?",<p>I have a trait that defines a single var and a single function like what follows:</p>&#xA;&#xA;<pre><code>trait MyTrait {&#xA;  var myVar: Boolean&#xA;&#xA;  def myFunction = 7&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>This trait is used by a class (let's sa,0,80,1,self-answering and self-accepting
207,1,31271099,Regex is not matching in Scala,"<p>I want to split up a camelCase string with spaces.</p>&#xA;&#xA;<p><code>"ClassicalMusicArtist" -&gt; "Classical Music Artist"</code></p>&#xA;&#xA;<p>I should be able to do this by replacing <code>"/([a-z](?=[A-Z]))/g"</code> with <code>"$1 "</code> (<""p>I want to split up a camelCase string with spaces.</p>&#xA;&#xA;<p><code>"ClassicalMusicArtist" -&gt; "Classical Music Artist"</code></p>&#xA;&#xA;<p>I should be able to do thi"">I want to split up a camelCase string with spaces.</p>&#xA;&#xA;<p><code>"ClassicalMusicArtist" -&gt;""I want to split up a camelC",0,97,1,self-answering and self-accepting
1,5,5147828,Are these jQuery element tests totally unnecessary?,"<p>Just a reality check before I refactor this code.  It comes from someone who is otherwise competent, as far as I can tell.  Here is a sample:</p>&#xA;&#xA;<pre><code>// remove line at the latest list&#xA;if($(".extra-space").length &gt; 0) {&#xA;    $(""p>Just a reality check before I refactor t",3,91,1,The problem is immediately solved
7,5,22581345,Click button copy to clipboard using jQuery,"<p>How do I copy the text inside a div to the clipboard? I have a div and need to add a link which will add the text to the clipboard. Is there a solution for this? </p>&#xA;&#xA;<pre><code>&lt;p class="content"&gt;Lorem Ipsum is simply dummy text of the ""p>How do I copy the text inside a div to the clipboa",278,439219,1,The problem is immediately solved
8,5,19498404,Setting up Xamarin Studio Version Control with TFS + git,<p>I am setting up <strong>Xamarin</strong> with <strong>Team Foundation Service + git</strong> to develop iOS apps. I have tried many different settings trying to set up my TFS + git integration on our MAC with no avail. I keep getting exceptions of eith,11,12534,1,The problem is immediately solved
9,5,1440580,How can I shorten a string and later get back the original contents?,"<p>I have a really long string that I need to pass in a URL, say 10,000 characters.  Anyone know a good way to shorten it to under 2,000 chars, and then on a server somehow get the original back?</p>&#xA;&#xA;<p>This is Objective-C talking to Ruby, but th",2,259,1,The problem is immediately solved
10,5,11574853,Sorting the DataTable is not working,"<p>I have one DataTable called "DTStage". It has two columns such as "SeqNbr" and "StageID".</p>&#xA;&#xA;<p>I want to sort the datatable based on "SeqNbr".</p>&#xA;&#xA;<p>The DataTable has the following records:</p>&#xA;&#xA;<pre><code>     SeqNbr      ""p>I have one DataTable called "DTStage". It has two columns such as "SeqNbr" and "StageID".</p>&#xA;&#xA;<p>I want to sort the datatable based on "SeqNbr".</p>&#xA;&#xA;<p>The DataTable has the following records:</p>&#xA;&#"">I have one DataTable called "DTStage". It has two columns such as "SeqNbr" and "StageID".</p>&#xA;&#xA;<p>I want to sort the datatable based on "SeqNbr".</p>&#xA;&#xA;<p>The DataTable has the""I have one DataTable called "DTStage". It has two columns such as "SeqNbr" and "StageID".</p>&#xA;&#xA;<p>I want to sort the datatable based on "SeqNbr".</p>&#xA;"" have one DataTable called "DTStage". It has two columns such as "SeqNbr" and "StageID".</p>&#xA;&#xA;<p>I want to sort the datatable""have one DataTable called "DTStage". It has two columns such as "SeqNbr" and "StageID".</p>&#xA;&#xA;<p>I""ave one DataTable called "DTStage". It has two columns such as "SeqNbr" and "S""ve one DataTable called "DTStage". It has two column""e one DataTable called "DTS"" on",1,2861,1,The problem is immediately solved
